env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_atomic,22,oversubscription_region,168.7793753,3.21988427,0.1463583759,PASS,,,14,14,Apple M4 Max,,,,0.0,1.465206505e-16
default,cpu_private_csr,22,oversubscription_region,344.5585693,1.57723564,0.0716925291,PASS,,,14,14,Apple M4 Max,,,,4840387200.0,1.334695628e-16
default,cpu_row_owner,22,oversubscription_region,129.219958,4.205620123,0.191164551,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,22,oversubscription_region,144.9885973,3.748226175,0.1703739171,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,23,oversubscription_region,120.6071253,4.505953145,0.1959110063,PASS,,,14,14,Apple M4 Max,,,,0.0,1.446958589e-16
default,cpu_private_csr,23,oversubscription_region,144.4358053,3.762571576,0.1635900685,PASS,,,14,14,Apple M4 Max,,,,5060404800.0,1.345999853e-16
default,cpu_row_owner,23,oversubscription_region,127.2519023,4.270663508,0.1856810221,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,23,oversubscription_region,147.4385553,3.685942625,0.160258375,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,24,oversubscription_region,124.394389,4.36876663,0.1820319429,PASS,,,14,14,Apple M4 Max,,,,0.0,1.304128229e-16
default,cpu_private_csr,24,oversubscription_region,149.2944443,3.640122431,0.151671768,PASS,,,14,14,Apple M4 Max,,,,5280422400.0,1.254952402e-16
default,cpu_row_owner,24,oversubscription_region,147.721764,3.678876023,0.153286501,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,24,oversubscription_region,152.2724443,3.56893237,0.1487055154,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,25,oversubscription_region,141.1388197,3.85046479,0.1540185916,PASS,,,14,14,Apple M4 Max,,,,0.0,1.484325955e-16
default,cpu_private_csr,25,oversubscription_region,204.2384583,2.660860546,0.1064344218,PASS,,,14,14,Apple M4 Max,,,,5500440000.0,1.362234811e-16
default,cpu_row_owner,25,oversubscription_region,131.4924443,4.132937512,0.1653175005,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,25,oversubscription_region,151.6313333,3.584022139,0.1433608856,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,26,oversubscription_region,137.3921663,3.955466095,0.1521333114,PASS,,,14,14,Apple M4 Max,,,,0.0,1.446246849e-16
default,cpu_private_csr,26,oversubscription_region,186.5117917,2.913757092,0.1120675805,PASS,,,14,14,Apple M4 Max,,,,5720457600.0,1.367535331e-16
